mtcn,transactiontype,location_id,locationname,reccountry,paycountry,account,direction,address,loccurrencycode,payprincipalusd,subagentcommchargesusd,subagentcommfxusd,shareoffxusd,shareofchargesusd,payprincipalloc,subagentcommfxloc,subagentcommchargesloc,shareoffxloc,shareofchargesloc,recprincipalusd,totalchargesusd,recprincipalloc,totalchargesloc,recdate,paydate,setdate,repdate
3627335223,A,85,FATOU SEMBENE,SENEGAL,BENIN,ADJ062590,O,"149 CITE EL HADJI MALICK SY, OUAKAM EXTENSION, LIMITS SI998574, DAKAR, DAKAR,",EUR,-24.68,-0.04,0.0,0.0,-0.05,-22.87,0.0,-0.04,0.0,-0.05,-24.68,-0.35,-22.87,-0.32,2024-07-04,2024-07-12,2024-07-12,2024-07-12
94610120,A,804,NDIAYE DAOUDA BS RUFISAC,SENEGAL,GHANA CEDI,ADJ353452,O,ROND POINT RUFISAC ROUTE DE RUFISQUE,EUR,-148.83,-0.54,-2.15,-2.52,-0.63,-137.01,-1.97,-0.49,-2.32,-0.58,-165.6,-4.22,-152.45,-3.89,2024-07-11,2024-07-12,2024-07-12,2024-07-12
8551576531,T,1068,BARRY MAMADOU ABDOULAYE,GERMANY,SENEGAL,ADJ358501,I,BIGNONA QUARTIER HLM 72,EUR,3294.97,6.94,0.0,0.0,8.09,3048.98,0.0,6.37,0.0,7.49,3294.97,53.93,3048.98,49.9,2024-07-10,2024-07-12,2024-07-12,2024-07-12
9981076306,T,696,CISSE YAYA PHCIE PAI,FRANCE,SENEGAL,ADJ351164,I,PHARMACIE PAI GUEDIAWAYE,EUR,108.94,0.5,0.0,0.0,0.56,100.0,0.0,0.46,0.0,0.51,108.94,3.7,100.0,3.4,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6772592299,T,814,DEFA GROUPE ALMADIES2,ITALY,SENEGAL,ADJ354727,I,KEUR MASSAR ALMADIES 2,EUR,108.94,0.41,0.0,0.0,0.47,100.0,0.0,0.37,0.0,0.44,108.94,3.16,100.0,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
1407680028,T,134,ETS BA ALGASSOUM,CONGO,SENEGAL,ADJ063810,I,"157 SACRE C?UR 3 VDN LOT A, DAKAR, DAKAR,",EUR,68.44,0.43,0.0,0.0,0.62,63.0,0.0,0.4,0.0,0.57,68.44,4.11,63.0,3.78,2024-07-11,2024-07-12,2024-07-12,2024-07-12
532958397,T,1164,SENE GLOBAL SERVICES FACE TRESOR,SENEGAL,SENEGAL,ADJ431178,P,MARCHE CENTRAL TRESOR,EUR,16.61,0.06,0.0,0.0,0.08,15.25,0.0,0.06,0.0,0.07,16.61,0.52,15.25,0.48,2024-07-07,2024-07-12,2024-07-12,2024-07-12
5650388842,T,1048,DIOUF AMADOU MOCTAR POSTE SANTE,FRANCE,SENEGAL,ADJ358732,I,HLM GRAND YOFF PRES POSTE SANTE,EUR,166.2,0.41,0.0,0.0,0.59,153.0,0.0,0.38,0.0,0.54,166.2,4.24,153.0,3.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
4191512153,T,1058,DIOUM KHADIDIATOU WARANKA,FRANCE,SENEGAL,ADJ358402,I,MARCHE WARANKA GHUINAW RAILS NORD,EUR,435.75,0.6,0.0,0.0,0.86,400.0,0.0,0.55,0.0,0.79,435.75,6.53,400.0,5.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
2937809525,T,313,HORIZON MLSCES CARREFOUR TIVAOUNE,ITALY,SENEGAL,ADJ066594,I,CARREFOUR FACE STATION TOTAL TIVAOUNE,EUR,1081.74,0.93,0.0,0.0,0.98,993.0,0.0,0.86,0.0,0.9,1081.74,6.54,993.0,6.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
